Date;Time;Global_active_power;Global_reactive_power;Voltage;Global_intensity;Sub_metering_1;Sub_metering_2;Sub_metering_3
1/1/2007;00:00:00;2.580;0.136;241.970;10.600;0.000;0.000;0.000
1/1/2007;00:01:00;2.552;0.100;241.750;10.400;0.000;0.000;0.000
1/1/2007;03:21:00;2.800;0.114;243.660;11.400;0.000;0.000;0.000
1/1/2007;06:41:00;2.490;0.128;241.190;10.200;0.000;0.000;0.000
1/1/2007;10:01:00;3.498;0.102;239.480;14.600;0.000;1.000;17.000
1/1/2007;13:21:00;2.556;0.000;239.080;10.600;0.000;0.000;0.000
1/1/2007;16:41:00;1.466;0.136;242.310;6.000;0.000;0.000;18.000
1/1/2007;20:01:00;0.436;0.122;236.910;1.800;0.000;2.000;0.000
1/1/2007;23:21:00;0.376;0.000;243.910;1.600;0.000;0.000;0.000
2/1/2007;02:41:00;0.484;0.182;246.120;2.000;0.000;0.000;0.000
2/1/2007;06:01:00;0.462;0.142;244.670;2.000;0.000;0.000;0.000
2/1/2007;09:21:00;0.370;0.000;242.600;1.600;0.000;0.000;0.000
2/1/2007;12:41:00;0.374;0.000;241.640;1.600;0.000;0.000;0.000
2/1/2007;16:01:00;0.394;0.178;245.240;1.800;0.000;0.000;0.000
2/1/2007;19:21:00;1.272;0.000;238.540;5.200;0.000;0.000;18.000
2/1/2007;22:41:00;0.584;0.184;244.060;2.600;0.000;1.000;0.000
3/1/2007;02:01:00;0.324;0.164;246.060;1.400;0.000;0.000;0.000
3/1/2007;05:21:00;0.246;0.048;244.520;1.000;0.000;0.000;0.000
3/1/2007;08:41:00;0.328;0.168;243.580;1.600;0.000;2.000;0.000
3/1/2007;12:01:00;1.432;0.184;242.390;5.800;0.000;0.000;18.000
3/1/2007;15:21:00;0.362;0.216;245.740;1.800;0.000;0.000;0.000
3/1/2007;18:41:00;0.328;0.182;242.490;1.600;0.000;2.000;0.000
3/1/2007;22:01:00;0.712;0.000;241.660;3.000;0.000;0.000;0.000
4/1/2007;01:21:00;4.500;0.000;237.080;18.800;38.000;0.000;0.000
4/1/2007;04:41:00;2.370;0.142;239.560;9.800;0.000;0.000;0.000
4/1/2007;08:01:00;2.328;0.126;236.950;9.800;0.000;0.000;0.000
4/1/2007;11:21:00;1.820;0.000;240.820;7.600;0.000;0.000;18.000
4/1/2007;14:41:00;1.444;0.000;241.900;6.000;0.000;0.000;18.000
4/1/2007;18:01:00;2.640;0.000;236.490;11.000;0.000;0.000;17.000
4/1/2007;21:21:00;0.424;0.166;239.620;1.800;0.000;1.000;0.000
5/1/2007;00:41:00;2.240;0.164;242.220;9.200;0.000;0.000;18.000
5/1/2007;04:01:00;2.438;0.162;243.170;10.000;0.000;0.000;0.000
5/1/2007;07:21:00;2.372;0.142;240.190;9.800;0.000;0.000;0.000
5/1/2007;10:41:00;2.240;0.000;237.570;9.400;0.000;0.000;0.000
5/1/2007;14:01:00;0.264;0.068;243.690;1.200;0.000;0.000;0.000
5/1/2007;17:21:00;2.280;0.216;237.390;10.000;0.000;1.000;17.000
5/1/2007;20:41:00;5.330;0.110;235.310;22.600;37.000;0.000;17.000
6/1/2007;00:01:00;1.722;0.132;242.690;7.000;0.000;0.000;18.000
6/1/2007;03:21:00;0.342;0.162;244.980;1.600;0.000;0.000;0.000
6/1/2007;06:41:00;0.246;0.000;242.180;1.000;0.000;0.000;0.000
6/1/2007;10:01:00;1.364;0.130;237.000;5.800;0.000;1.000;0.000
6/1/2007;13:21:00;2.228;0.000;236.160;9.400;0.000;0.000;17.000
6/1/2007;16:41:00;0.782;0.000;235.670;3.400;0.000;0.000;0.000
6/1/2007;20:01:00;1.336;0.106;236.970;5.800;0.000;0.000;0.000
6/1/2007;23:21:00;0.432;0.262;242.580;2.200;0.000;0.000;0.000
7/1/2007;02:41:00;0.352;0.210;247.000;1.600;0.000;0.000;0.000
7/1/2007;06:01:00;0.372;0.208;246.820;1.800;0.000;0.000;0.000
7/1/2007;09:21:00;0.330;0.178;244.310;1.600;0.000;2.000;0.000
7/1/2007;12:41:00;0.342;0.000;239.860;1.600;0.000;0.000;0.000
7/1/2007;16:01:00;1.768;0.238;243.880;7.400;0.000;2.000;18.000
7/1/2007;19:21:00;2.918;0.196;234.590;12.400;0.000;0.000;17.000
7/1/2007;22:41:00;1.602;0.000;241.990;6.600;0.000;1.000;18.000
8/1/2007;02:01:00;1.382;0.124;240.970;5.800;0.000;2.000;18.000
8/1/2007;05:21:00;1.272;0.000;239.900;5.200;0.000;0.000;18.000
8/1/2007;08:41:00;2.060;0.000;238.260;8.600;0.000;0.000;17.000
8/1/2007;12:01:00;0.366;0.150;239.150;1.800;0.000;1.000;0.000
8/1/2007;15:21:00;1.826;0.000;242.990;7.600;0.000;0.000;18.000
8/1/2007;18:41:00;3.212;0.278;237.450;13.400;0.000;0.000;17.000
8/1/2007;22:01:00;1.390;0.114;237.410;5.800;0.000;0.000;0.000
9/1/2007;01:21:00;0.402;0.280;241.880;2.000;0.000;1.000;0.000
9/1/2007;04:41:00;0.214;0.000;241.640;1.000;0.000;0.000;0.000
9/1/2007;08:01:00;2.774;0.304;237.890;11.600;1.000;0.000;18.000
9/1/2007;11:21:00;1.248;0.000;237.820;5.200;0.000;0.000;17.000
9/1/2007;14:41:00;0.240;0.046;242.970;1.000;0.000;0.000;0.000
9/1/2007;18:01:00;2.868;0.470;235.800;12.400;0.000;1.000;17.000
9/1/2007;21:21:00;4.852;0.098;235.440;20.600;0.000;35.000;17.000
10/1/2007;00:41:00;0.352;0.208;244.750;1.600;0.000;0.000;0.000
