bld=01 node=25 id=O1L_SLZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
20_07_2012; 00:00:45; 292.800; 1.200; 27.80; 23.00;
20_07_2012; 00:48:45; 292.800; 1.300; 27.60; 23.00;
20_07_2012; 01:36:45; 292.800; 1.300; 27.60; 23.00;
20_07_2012; 02:24:45; 292.800; 1.300; 27.60; 23.00;
20_07_2012; 03:12:45; 292.800; 1.200; 27.60; 23.00;
20_07_2012; 04:00:45; 292.800; 1.300; 27.60; 22.90;
20_07_2012; 04:49:37; 292.900; 1.400; 27.60; 22.90;
20_07_2012; 05:36:45; 292.900; 1.300; 27.60; 22.90;
20_07_2012; 06:24:45; 292.900; 1.400; 27.60; 22.90;
20_07_2012; 07:12:45; 292.900; 1.500; 27.50; 22.90;
20_07_2012; 08:00:45; 292.900; 1.400; 27.60; 22.80;
20_07_2012; 08:48:45; 292.900; 1.400; 27.60; 22.90;
20_07_2012; 09:36:45; 292.900; 1.400; 27.60; 22.90;
20_07_2012; 10:24:45; 292.900; 1.400; 27.70; 22.90;
20_07_2012; 11:12:45; 292.900; 1.400; 27.60; 23.00;
20_07_2012; 12:00:45; 292.900; 1.400; 27.60; 22.90;
20_07_2012; 12:48:45; 292.900; 1.300; 27.60; 23.00;
20_07_2012; 13:37:45; 292.900; 1.300; 27.70; 22.90;
20_07_2012; 14:25:45; 292.900; 1.300; 27.70; 22.90;
20_07_2012; 15:13:45; 292.900; 1.300; 27.60; 22.90;
20_07_2012; 16:01:45; 292.900; 1.400; 27.60; 22.80;
20_07_2012; 16:49:45; 293.000; 1.400; 27.50; 22.60;
20_07_2012; 17:38:45; 293.000; 1.300; 27.50; 22.40;
20_07_2012; 18:26:45; 293.000; 1.400; 27.40; 22.30;
20_07_2012; 19:14:45; 293.000; 1.200; 27.20; 22.40;
20_07_2012; 20:02:45; 293.000; 1.200; 27.30; 22.20;
20_07_2012; 20:50:45; 293.000; 1.300; 27.20; 22.30;
20_07_2012; 21:39:45; 293.000; 1.300; 27.30; 22.30;
20_07_2012; 22:27:45; 293.000; 1.400; 27.30; 22.40;
20_07_2012; 23:15:45; 293.000; 1.500; 27.20; 22.40;
