bld=01 node=26 id=O1L_KIZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
23_07_2012; 00:00:45; 535.700; 0.000; 25.50; 23.60;
23_07_2012; 00:48:45; 535.700; 0.000; 25.40; 23.60;
23_07_2012; 01:36:45; 535.700; 0.000; 25.20; 23.50;
23_07_2012; 02:24:45; 535.700; 0.000; 25.10; 23.50;
23_07_2012; 03:12:45; 535.700; 0.000; 25.10; 23.50;
23_07_2012; 04:00:45; 535.700; 0.000; 25.10; 23.40;
23_07_2012; 04:48:45; 535.700; 0.000; 24.90; 23.20;
23_07_2012; 05:36:45; 535.700; 0.000; 24.80; 23.10;
23_07_2012; 06:24:45; 535.700; 0.000; 24.80; 23.10;
23_07_2012; 07:12:45; 535.700; 0.000; 24.80; 23.20;
23_07_2012; 08:00:45; 535.700; 0.000; 24.80; 23.10;
23_07_2012; 08:48:45; 535.700; 0.000; 24.80; 23.10;
23_07_2012; 09:37:45; 535.700; 0.000; 24.80; 23.10;
23_07_2012; 10:25:45; 535.700; 0.000; 24.80; 23.10;
23_07_2012; 11:15:45; 535.700; 0.000; 24.80; 23.20;
23_07_2012; 12:03:45; 535.700; 0.000; 24.80; 23.20;
23_07_2012; 12:51:45; 535.700; 0.000; 25.00; 23.30;
23_07_2012; 13:40:45; 535.700; 0.000; 25.00; 23.30;
23_07_2012; 14:28:45; 535.700; 0.000; 25.10; 23.40;
23_07_2012; 15:16:45; 535.700; 0.000; 25.20; 23.50;
23_07_2012; 16:04:45; 535.700; 0.000; 25.20; 23.50;
23_07_2012; 16:52:45; 535.700; 0.000; 25.30; 23.60;
23_07_2012; 17:41:45; 535.700; 0.000; 25.30; 23.60;
23_07_2012; 18:29:45; 535.700; 0.000; 25.20; 23.60;
23_07_2012; 19:17:45; 535.700; 0.000; 25.30; 23.60;
23_07_2012; 20:07:45; 535.700; 0.000; 25.30; 23.70;
23_07_2012; 20:55:45; 535.700; 0.000; 25.40; 23.70;
23_07_2012; 21:43:45; 535.700; 0.000; 25.40; 23.80;
23_07_2012; 22:31:45; 535.700; 0.000; 25.40; 23.80;
23_07_2012; 23:19:45; 535.700; 0.000; 25.60; 23.80;
