bld=02 node=22 id=O1L_KUE
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
24_07_2012; 00:00:45; 188.500; 0.000; 23.90; 23.90;
24_07_2012; 00:48:45; 188.500; 0.000; 23.80; 23.90;
24_07_2012; 01:36:45; 188.500; 0.000; 23.80; 23.90;
24_07_2012; 02:24:45; 188.500; 0.000; 23.80; 23.90;
24_07_2012; 03:12:45; 188.500; 0.000; 23.80; 23.90;
24_07_2012; 04:00:45; 188.500; 0.000; 23.80; 23.80;
24_07_2012; 04:48:45; 188.500; 0.000; 23.70; 23.80;
24_07_2012; 05:36:45; 188.500; 0.000; 23.80; 23.80;
24_07_2012; 06:24:45; 188.500; 0.000; 23.70; 23.80;
24_07_2012; 07:12:45; 188.500; 0.000; 23.80; 23.80;
24_07_2012; 08:00:45; 188.500; 0.000; 23.80; 23.80;
24_07_2012; 08:48:45; 188.500; 0.000; 23.80; 23.90;
24_07_2012; 09:36:45; 188.500; 0.000; 23.90; 23.90;
24_07_2012; 10:24:45; 188.500; 0.000; 24.00; 24.00;
24_07_2012; 11:12:45; 188.500; 0.000; 24.00; 24.00;
24_07_2012; 12:00:45; 188.500; 0.000; 24.00; 24.00;
24_07_2012; 12:48:45; 188.500; 0.000; 24.00; 24.10;
24_07_2012; 13:36:45; 188.500; 0.000; 24.10; 24.10;
24_07_2012; 14:24:45; 188.500; 0.000; 24.10; 24.10;
24_07_2012; 15:12:45; 188.500; 0.000; 24.10; 24.10;
24_07_2012; 16:00:45; 188.500; 0.000; 24.10; 24.10;
24_07_2012; 16:48:45; 188.500; 0.000; 24.20; 24.20;
24_07_2012; 17:36:45; 188.500; 0.000; 24.20; 24.20;
24_07_2012; 18:24:45; 188.500; 0.000; 24.20; 24.30;
24_07_2012; 19:12:45; 188.500; 0.000; 24.20; 24.30;
24_07_2012; 20:00:45; 188.500; 0.000; 24.30; 24.40;
24_07_2012; 20:48:45; 188.500; 0.000; 24.30; 24.40;
24_07_2012; 21:36:45; 188.500; 0.000; 24.30; 24.40;
24_07_2012; 22:24:45; 188.500; 0.000; 24.30; 24.40;
24_07_2012; 23:12:45; 188.500; 0.000; 24.40; 24.40;
