weather_HB37; 20_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
20_11_2010; 00:00:15; 4.32; 994.51; 0.00; 1.13; 168.78; 98.63; 3.15; 3.33; 2.83; 4.32; 168.53; 124.67; 217.56; 
20_11_2010; 00:24:15; 3.82; 994.51; 0.00; 0.56; 179.38; 99.71; 0.00; 1.86; 0.77; 3.82; 142.87; 125.41; 223.05; 
20_11_2010; 00:48:15; 3.74; 994.51; 0.00; 0.00; 234.53; 99.17; 2.30; 2.53; 2.40; 3.74; 234.98; 125.20; 222.44; 
20_11_2010; 01:12:15; 3.38; 994.51; 0.00; 1.13; 159.40; 98.99; 4.65; 5.24; 4.65; 3.38; 165.42; 123.80; 1.27; 
20_11_2010; 01:36:15; 3.33; 994.51; 0.00; 0.56; 201.89; 99.26; 0.00; 0.00; 0.00; 3.33; -099997.00; 124.67; 221.53; 
20_11_2010; 02:00:15; 3.02; 994.51; 0.00; 1.13; 143.54; 98.90; 3.08; 3.26; 3.12; 3.02; 143.74; 123.73; 1.41; 
20_11_2010; 02:24:15; 2.80; 994.51; 0.00; 0.00; 162.91; 98.90; 1.99; 2.00; 1.96; 2.80; 162.71; 124.25; 227.03; 
20_11_2010; 02:48:15; 2.11; 994.51; 0.00; 0.00; 123.38; 099.80; 4.41; 4.70; 4.45; 2.11; 123.82; 124.59; 219.42; 
20_11_2010; 03:12:15; 2.05; 994.51; 0.00; 0.00; 119.00; 99.26; 4.52; 4.93; 4.55; 2.05; 118.86; 124.45; 1.45; 
20_11_2010; 03:36:15; 2.44; 994.51; 0.00; 0.00; 148.80; 98.18; 2.04; 2.52; 2.35; 2.44; 148.94; 124.28; 1.31; 
20_11_2010; 04:00:15; 2.39; 994.51; 0.00; 1.13; 73.11; 97.83; 4.47; 5.25; 4.76; 2.39; 73.01; 123.91; 1.43; 
20_11_2010; 04:24:15; 2.97; 994.51; 0.00; 0.28; 136.61; 96.49; 3.56; 4.64; 4.09; 2.97; 136.10; 125.00; 224.52; 
20_11_2010; 04:48:15; 2.94; 994.51; 0.00; 0.85; 69.94; 97.20; 4.23; 4.23; 4.23; 2.94; 70.15; 125.37; 230.14; 
20_11_2010; 05:12:15; 2.83; 994.51; 0.00; 0.85; 83.81; 97.74; 8.04; 8.20; 8.04; 1.28; 83.81; 124.80; 1.47; 
20_11_2010; 05:36:15; 2.83; 994.51; 0.00; 0.00; 78.46; 97.74; 7.37; 7.37; 7.10; 1.89; 78.68; 125.35; 1.41; 
20_11_2010; 06:00:15; 2.50; 994.51; 0.00; 0.00; 113.57; 98.99; 3.21; 3.41; 3.26; 2.50; 113.29; 124.34; 221.67; 
20_11_2010; 06:24:15; 2.61; 994.51; 0.00; 0.00; 114.53; 98.27; 3.88; 4.37; 4.15; 2.61; 117.20; 124.21; 1.37; 
20_11_2010; 06:48:15; 2.58; 994.51; 0.00; 0.00; 58.86; 98.36; 3.77; 3.82; 3.51; 2.58; 70.10; 124.35; 225.37; 
20_11_2010; 07:12:15; 2.58; 994.51; 0.00; 0.28; 51.10; 98.27; 6.19; 7.00; 6.30; 2.58; 49.27; 124.67; 1.41; 
20_11_2010; 07:36:15; 2.28; 994.51; 202.17; 4.83; 99.37; 98.72; 4.61; 6.19; 5.36; 2.28; 98.94; 124.43; 226.05; 
20_11_2010; 08:00:15; 2.08; 994.51; 1951.43; 15.64; 74.62; 99.35; 7.15; 8.02; 7.57; 1.34; 74.49; 123.66; 1.47; 
20_11_2010; 08:24:15; 2.28; 994.51; 4772.50; 34.14; 102.00; 97.47; 3.16; 3.22; 3.16; 2.28; 102.00; 124.35; 225.28; 
20_11_2010; 08:48:15; 2.39; 994.51; 7642.37; 56.90; 147.04; 96.84; 3.23; 3.67; 3.38; 2.39; 146.72; 124.29; 225.48; 
20_11_2010; 09:12:15; 3.05; 994.51; 10366.25; 85.07; 78.46; 94.07; 4.53; 4.62; 4.46; 3.05; 78.05; 124.68; 1.25; 
20_11_2010; 09:36:15; 3.41; 994.51; 10658.00; 73.97; 82.16; 94.79; 2.19; 2.82; 2.43; 3.41; 82.56; 125.20; 222.06; 
20_11_2010; 10:00:15; 3.74; 994.51; 14062.75; 102.14; 100.42; 92.19; 8.33; 8.33; 5.54; 2.00; 89.20; 125.26; 218.80; 
20_11_2010; 10:24:15; 4.10; 994.51; 19510.50; 156.76; 86.75; 92.10; 6.88; 8.24; 7.38; 3.66; 87.02; 125.47; 220.99; 
20_11_2010; 10:48:15; 5.04; 994.51; 26914.00; 242.12; 94.11; 89.87; 5.03; 6.42; 5.55; 5.04; 98.70; 127.72; 224.83; 
20_11_2010; 11:12:15; 6.62; 994.51; 32914.00; 307.85; 214.97; 84.68; 2.83; 6.70; 4.85; 6.62; 153.54; 131.97; 219.08; 
20_11_2010; 11:36:15; 7.14; 994.51; 30971.54; 271.42; 39.34; 83.25; 10.68; 10.68; 10.68; 4.01; 39.34; 133.54; 224.25; 
20_11_2010; 12:00:15; 7.31; 994.51; 28393.00; 245.82; 141.87; 82.53; 4.21; 5.05; 4.28; 7.31; 157.62; 132.57; 217.09; 
20_11_2010; 12:24:15; 7.92; 994.51; 34097.00; 295.32; 37.76; 79.49; 7.26; 8.22; 7.72; 7.23; 48.63; 134.41; 219.78; 
20_11_2010; 12:48:15; 8.78; 994.51; 28435.00; 241.27; 75.67; 74.21; 6.05; 6.80; 6.06; 8.78; 75.99; 136.37; 228.31; 
20_11_2010; 13:12:15; 8.64; 994.51; 22942.00; 169.57; 42.66; 75.20; 11.77; 13.25; 12.49; 5.07; 47.31; 136.49; 219.70; 
20_11_2010; 13:36:15; 8.53; 994.51; 21083.00; 155.34; 51.17; 73.94; 12.68; 16.06; 13.52; 4.47; 63.27; 135.39; 219.14; 
20_11_2010; 14:00:15; 8.17; 994.51; 17711.00; 124.05; 58.41; 74.93; 10.15; 12.57; 11.40; 5.48; 58.26; 134.02; 220.70; 
20_11_2010; 14:24:15; 7.86; 994.51; 14792.50; 107.83; 76.50; 77.25; 10.19; 15.97; 11.93; 5.12; 56.20; 133.57; 226.69; 
20_11_2010; 14:48:15; 7.75; 994.51; 13527.75; 106.98; 76.50; 76.63; 7.56; 7.56; 7.56; 6.83; 79.44; 132.79; 221.63; 
20_11_2010; 15:12:15; 7.78; 994.51; 12360.50; 101.57; 53.59; 77.43; 6.65; 6.65; 6.60; 7.59; 53.78; 132.78; 226.35; 
20_11_2010; 15:36:15; 8.00; 994.51; 12992.75; 111.53; 130.39; 76.90; 8.00; 8.46; 8.10; 6.75; 130.36; 134.33; 216.88; 
20_11_2010; 16:00:15; 7.81; 994.51; 7010.00; 60.88; 69.41; 77.43; 9.74; 9.74; 8.18; 5.34; 70.36; 132.35; 219.82; 
20_11_2010; 16:24:15; 7.45; 994.51; 1902.81; 17.35; 110.06; 79.49; 10.02; 10.02; 6.78; 4.76; 110.15; 130.28; 216.71; 
20_11_2010; 16:48:15; 7.01; 994.51; 161.73; 2.27; 101.12; 81.91; 9.33; 12.36; 10.91; 4.74; 95.04; 128.98; 222.62; 
20_11_2010; 17:12:15; 6.59; 994.51; 0.00; 0.00; 47.18; 84.05; 3.99; 5.76; 4.74; 6.59; 54.63; 128.38; 215.96; 
20_11_2010; 17:36:15; 5.79; 994.51; 0.00; 1.42; 68.21; 88.88; 7.06; 8.81; 7.23; 5.21; 64.49; 126.82; 221.14; 
20_11_2010; 18:00:15; 4.96; 994.51; 0.00; 1.13; 68.96; 93.89; 5.27; 8.16; 6.65; 4.96; 68.96; 125.39; 229.16; 
20_11_2010; 18:24:15; 4.54; 994.51; 0.00; 0.00; 322.79; 94.43; 0.00; 0.00; 0.00; 4.54; -099997.00; 125.24; 222.60; 
20_11_2010; 18:48:15; 4.21; 994.51; 0.00; 1.42; 35.04; 93.62; 9.27; 9.27; 8.84; 1.74; 41.45; 124.66; 1.50; 
20_11_2010; 19:12:15; 3.88; 994.51; 0.00; 0.00; 21.93; 93.71; 4.00; 4.03; 3.96; 3.88; 21.93; 125.30; 227.11; 
20_11_2010; 19:36:15; 3.49; 994.51; 0.00; 0.00; 57.13; 93.89; 8.86; 11.08; 9.32; 1.29; 58.77; 124.92; 230.78; 
20_11_2010; 20:00:15; 3.19; 994.51; 0.00; 0.00; 55.62; 94.25; 9.09; 9.09; 7.12; 0.78; 69.28; 125.65; 226.40; 
20_11_2010; 20:24:15; 2.88; 994.51; 0.00; 0.00; 56.98; 95.14; 6.92; 11.00; 8.52; 2.39; 52.54; 125.51; 225.84; 
20_11_2010; 20:48:15; 2.83; 994.51; 0.00; 0.00; 38.59; 94.97; 7.81; 10.32; 8.76; 1.49; 35.25; 124.24; 1.41; 
20_11_2010; 21:12:15; 2.72; 994.51; 0.00; 0.00; 100.42; 93.80; 8.66; 11.12; 9.37; 0.62; 99.35; 124.12; 1.52; 
20_11_2010; 21:36:15; 2.58; 994.51; 0.00; 0.00; 53.89; 92.82; 12.73; 16.43; 13.77; -2.49; 67.09; 124.63; 227.37; 
20_11_2010; 22:00:15; 2.33; 994.51; 0.00; 0.00; 42.51; 93.00; 12.46; 12.46; 12.46; -2.61; 42.51; 124.63; 217.35; 
20_11_2010; 22:24:15; 2.28; 994.51; 0.00; 0.00; 28.56; 92.37; 9.96; 12.84; 11.42; -0.89; 44.42; 124.51; 220.47; 
20_11_2010; 22:48:15; 1.86; 994.51; 0.00; 0.00; 45.15; 94.25; 9.33; 9.33; 8.09; -0.85; 51.27; 124.78; 219.65; 
20_11_2010; 23:12:15; 1.81; 994.51; 0.00; 0.00; 61.12; 94.61; 8.08; 10.12; 8.77; 0.17; 54.90; 124.04; 1.50; 
20_11_2010; 23:36:15; 1.75; 994.51; 0.00; 0.00; 53.06; 94.52; 11.72; 18.36; 15.23; -2.78; 57.03; 123.56; 1.37; 
