pKey;JobStartDate;JobEndDate;APINumber;StateNumber;CountyNumber;OperatorName;WellName;Latitude;Longitude;Projection;TVD;TotalBaseWaterVolume;TotalBaseNonWaterVolume;StateName;CountyName;FFVersion;FederalWell;IndianWell
2DD4B7FE-FB71-4A81-BADA-BA9626E06E60;2011-01-01 00:00:00.000;2011-01-01 00:00:00.000;17085221760000;17;85;Shell Oil Company affiliate;Randall Rains 5 #1;31,79966401;-93,51142043;NAD83;13321;5870285;NULL;Louisiana;Sabine;1;0;0
8E989576-AC11-4F25-A6F6-8A9F4FCAE64D;2011-01-01 00:00:00.000;2011-01-01 00:00:00.000;37081201930000;37;81;Anadarko Petroleum Corporation;COP 289 #B-1010H;41,38068;-77,52229;NAD27;NULL;NULL;NULL;Pennsylvania;Lycoming;1;0;0
E4210963-E255-4721-AD42-9323E3C52C08;2011-01-01 00:00:00.000;2011-01-01 00:00:00.000;42283323490000;42;283;El Paso E&P Company;RITCHIE FARMS #5H;28,48704;-99,38872;NAD27;NULL;NULL;NULL;TEXAS;LA SALLE;1;0;0
AE4857CE-F478-49C2-B944-02ADBEC32421;2011-01-01 00:00:00.000;2011-01-01 00:00:00.000;42003326350000;42;3;Chevron USA Inc.;Dollarhide Unit 16-14-C;32,16377;-103,03348;NAD27;NULL;NULL;NULL;Texas;Andrews;1;0;0
9C1C7569-F4B9-4770-8796-AE62E26FE4BE;2011-01-01 00:00:00.000;2011-01-01 00:00:00.000;42121339320000;42;121;WPX Energy;Cummings B 6H;33,0532503;-97,1378994;NAD27;NULL;NULL;NULL;Texas;Denton;1;0;0
B33DB92F-1BF5-48AD-AB8B-294CA953F4D3;2011-01-02 00:00:00.000;2011-01-02 00:00:00.000;3045102870000;3;45;XTO Energy/ExxonMobil;Sublett 1-8H;35,248903;-92,294396;NAD27;NULL;NULL;NULL;Arkansas;Faulkner;1;0;0
ADDCA719-3D1C-445B-9343-E801158647E1;2011-01-02 00:00:00.000;2011-01-02 00:00:00.000;37115203420000;37;115;Chief Oil & Gas;Tell Unit 4;41,714717;-75,884697;NAD83;NULL;NULL;NULL;PA;Susquehanna;1;0;0
371A560F-AE0A-47CA-82EA-9EECABB2307C;2011-01-02 00:00:00.000;2011-01-02 00:00:00.000;42127337600000;42;127;Anadarko Petroleum Corporation;Beinhorn Ranch #5H;28,31;-99,69;NAD27;8085;6454560;NULL;Texas;Dimmit;1;0;0
9AAADCE4-E1E2-4535-9978-A51F5C2BCD5B;2011-01-02 00:00:00.000;2011-01-02 00:00:00.000;42127337600000;42;127;Anadarko Petroleum Corporation;Beinhorn Ranch #5H;28,31;-99,69;NAD27;NULL;NULL;NULL;Texas;Dimmit;1;0;0
CF08F563-3E88-469E-B601-9C03C965682A;2011-01-02 00:00:00.000;2011-01-02 00:00:00.000;42177321210000;42;177;EOG Resources, Inc.;H.F.S. #1H;29,181239;-97,273047;NAD27;NULL;NULL;NULL;Texas;Gonzales;1;0;0
77143272-91E5-4571-8713-34B41CB3A06A;2011-01-02 00:00:00.000;2011-01-02 00:00:00.000;42405303640000;42;405;Southwestern Energy ;Steadham G.U. 1#1H;31,5635888;-94,26436389;NAD27;NULL;NULL;NULL;Texas;San Augustine;1;0;0
CC52186C-612C-4024-8FB7-9B6B5A56516F;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;3145109750000;3;145;Southwestern Energy ;THARP, VERNON 10-07 #4-22H10;35,487311;-91,742922;NAD27;NULL;NULL;NULL;Arkansas;WHITE, AR;1;0;0
5DF07797-40CE-475D-8310-884AB91947E8;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;3029107780000;3;29;Southwestern Energy ;OSWALD 09-17 #3-26H23;35,390001;-92,764836;NAD27;NULL;NULL;NULL;Arkansas;CONWAY, AR;1;0;0
8CAD74C4-B816-4DB0-8492-7AC47D1D101E;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;3023104350000;3;23;Southwestern Energy ;PEARCE 09-10 #2-04H33;35,447201;-92,077295;NAD27;NULL;NULL;NULL;Arkansas;CLEBURNE, AR;1;0;0
2B7F685F-7A8B-4146-9E1D-462B18D1EE91;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;3045102720000;3;45;Southwestern Energy ;LINN, LINDA 08-12 #2-23H;35,305547;-92,250512;NAD27;NULL;NULL;NULL;Arkansas;FAULKNER, AR;1;0;0
31BC7B79-B05D-464F-957A-3A9BFCB7B1E3;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;3145109740000;3;145;Southwestern Energy ;THARP, VERNON 10-07 #3-22H10;35,487366;-91,742922;NAD27;NULL;NULL;NULL;Arkansas;WHITE, AR;1;0;0
F28FCA2F-8CA4-4F5A-BA9A-97B79D91C9D7;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;5123198660000;5;123;Anadarko Petroleum Corporation;HSR-BOULTER FEDERAL 13-18A;40,221773;-104,823828;NAD83;NULL;NULL;NULL;CO;WELD;1;0;0
113438AF-7C46-4442-8C7D-B293F11DD59B;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;5123314390000;5;123;Anadarko Petroleum Corporation;MAPLEWOOD 13-7;40,323461;-104,938388;NAD83;NULL;NULL;NULL;CO;WELD;1;0;0
B40767DF-3BD9-4028-B226-1A4858074BA6;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;5123313710000;5;123;Anadarko Petroleum Corporation;NRC 9-9;40,061355;-104,8911519;NAD83;NULL;NULL;NULL;CO;WELD;1;0;0
6BBA29BC-3228-42FA-B84C-6F34AEB656D5;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;5014206950000;5;14;Encana Oil & Gas (USA) Inc.;Baker 6-4-27;40,024028;-104,987832;NAD83;NULL;NULL;NULL;Colorado;Broomfield;1;0;0
77263F2C-2A6B-4D3D-9B5B-ED3F47E47CA3;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;33061013420000;33;61;Hess Corporation;EN-Heinle-156-94-2536H-3;48,311036;-102,703786;NAD83;NULL;NULL;NULL;North Dakota;Mountrail;1;0;0
6701C2EF-1CBD-4C28-A691-874D8F5A13B5;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;37129283960000;37;129;XTO Energy/ExxonMobil;Eckels 8590H;40,341319;-79,145892;NAD27;NULL;NULL;NULL;Pennsylvania;Westmoreland;1;0;0
F88B7F08-3417-4BAC-8F87-AC2AC5135E0D;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;42311342890000;42;311;BHP Billiton Petroleum;Edwards #1H;28,36568052;-98,63329628;WGS84;NULL;NULL;NULL;Texas;McMullen;1;0;0
905964FC-FE1F-4CC2-AF9C-9D61A001C5C8;2011-01-03 00:00:00.000;2011-01-03 00:00:00.000;42439318500000;42;439;XTO Energy/ExxonMobil;TRWD Hearne A 1H;32,970539;-97,518686;NAD27;NULL;NULL;NULL;Texas;Tarrant;1;0;0
07D63F52-2953-4B8B-B655-8947CB6A64C0;2011-01-04 00:00:00.000;2011-01-04 00:00:00.000;3029107720000;3;29;Southwestern Energy ;MOON 09-14 #5-29H20;35,397194;-92,508929;NAD27;NULL;NULL;NULL;Arkansas;CONWAY, AR;1;0;0
397141E8-F6A9-4214-9727-4B4051739DE7;2011-01-04 00:00:00.000;2011-01-04 00:00:00.000;3063000500000;3;63;XTO Energy/ExxonMobil;Eddie Grammer 1-30H19;35,561619;-91,685419;NAD27;NULL;NULL;NULL;Arkansas;Independence;1;0;0
