bld=01 node=25 id=O1L_SLZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
23_07_2012; 00:00:45; 293.300; 1.300; 27.10; 22.10;
23_07_2012; 00:48:45; 293.300; 1.200; 26.90; 22.10;
23_07_2012; 01:36:45; 293.300; 1.200; 26.70; 22.10;
23_07_2012; 02:24:45; 293.300; 1.200; 26.60; 21.90;
23_07_2012; 03:12:45; 293.300; 1.100; 26.70; 21.90;
23_07_2012; 04:00:45; 293.300; 1.200; 26.50; 21.90;
23_07_2012; 04:48:45; 293.300; 1.200; 26.50; 21.70;
23_07_2012; 05:36:45; 293.300; 1.100; 26.40; 21.70;
23_07_2012; 06:24:45; 293.400; 1.200; 26.40; 21.70;
23_07_2012; 07:12:45; 293.400; 1.200; 26.40; 21.60;
23_07_2012; 08:00:45; 293.400; 1.200; 26.40; 21.50;
23_07_2012; 08:48:45; 293.400; 1.200; 26.50; 21.60;
23_07_2012; 09:37:45; 293.400; 1.100; 26.40; 21.70;
23_07_2012; 10:25:45; 293.400; 1.100; 26.20; 21.80;
23_07_2012; 11:13:45; 293.400; 1.100; 26.20; 21.80;
23_07_2012; 12:01:45; 293.400; 1.100; 26.30; 21.80;
23_07_2012; 12:49:45; 293.400; 1.100; 26.40; 21.90;
23_07_2012; 13:40:45; 293.400; 1.300; 26.50; 22.00;
23_07_2012; 14:28:45; 293.400; 1.300; 26.70; 22.00;
23_07_2012; 15:16:45; 293.400; 1.300; 26.70; 22.10;
23_07_2012; 16:04:45; 293.400; 1.100; 26.80; 22.10;
23_07_2012; 16:52:45; 293.400; 1.100; 26.70; 22.20;
23_07_2012; 17:41:45; 293.400; 1.100; 26.70; 22.20;
23_07_2012; 18:29:45; 293.400; 1.100; 26.80; 22.20;
23_07_2012; 19:17:45; 293.400; 1.100; 26.70; 22.30;
23_07_2012; 20:05:45; 293.400; 1.200; 26.80; 22.30;
23_07_2012; 20:53:45; 293.400; 1.100; 26.80; 22.40;
23_07_2012; 21:41:45; 293.500; 1.200; 26.80; 22.40;
23_07_2012; 22:29:45; 293.500; 1.600; 27.10; 22.30;
23_07_2012; 23:17:45; 293.500; 1.200; 27.40; 22.40;
