bld=02 node=22 id=O1L_KUE
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
23_07_2012; 00:00:45; 188.500; 0.000; 23.80; 23.80;
23_07_2012; 00:48:45; 188.500; 0.000; 23.80; 23.70;
23_07_2012; 01:36:45; 188.500; 0.000; 23.70; 23.70;
23_07_2012; 02:24:45; 188.500; 0.000; 23.70; 23.60;
23_07_2012; 03:12:45; 188.500; 0.000; 23.60; 23.60;
23_07_2012; 04:00:45; 188.500; 0.000; 23.60; 23.50;
23_07_2012; 04:48:45; 188.500; 0.000; 23.50; 23.50;
23_07_2012; 05:36:45; 188.500; 0.000; 23.50; 23.40;
23_07_2012; 06:24:45; 188.500; 0.000; 23.50; 23.40;
23_07_2012; 07:12:45; 188.500; 0.000; 23.40; 23.40;
23_07_2012; 08:00:45; 188.500; 0.000; 23.40; 23.50;
23_07_2012; 08:48:45; 188.500; 0.000; 23.40; 23.50;
23_07_2012; 09:36:45; 188.500; 0.000; 23.50; 23.50;
23_07_2012; 10:24:45; 188.500; 0.000; 23.50; 23.60;
23_07_2012; 11:12:45; 188.500; 0.000; 23.60; 23.60;
23_07_2012; 12:00:45; 188.500; 0.000; 23.70; 23.60;
23_07_2012; 12:48:45; 188.500; 0.000; 23.70; 23.70;
23_07_2012; 13:36:45; 188.500; 0.000; 23.70; 23.70;
23_07_2012; 14:24:45; 188.500; 0.000; 23.70; 23.70;
23_07_2012; 15:12:45; 188.500; 0.000; 23.80; 23.80;
23_07_2012; 16:00:45; 188.500; 0.000; 23.80; 23.80;
23_07_2012; 16:48:45; 188.500; 0.000; 23.90; 23.80;
23_07_2012; 17:36:45; 188.500; 0.000; 23.90; 23.80;
23_07_2012; 18:24:45; 188.500; 0.000; 23.80; 23.90;
23_07_2012; 19:12:45; 188.500; 0.000; 23.80; 23.80;
23_07_2012; 20:00:45; 188.500; 0.000; 23.90; 23.80;
23_07_2012; 20:48:45; 188.500; 0.000; 23.80; 23.90;
23_07_2012; 21:36:45; 188.500; 0.000; 23.80; 23.90;
23_07_2012; 22:24:45; 188.500; 0.000; 23.80; 23.90;
23_07_2012; 23:12:45; 188.500; 0.000; 23.80; 23.90;
