bld=01 node=26 id=O1L_KIZ
     DATE;  TIME;     ENE;    VOL;  VLT; RLT;
24_07_2012; 00:01:45; 535.700; 0.000; 25.70; 24.00;
24_07_2012; 00:49:45; 535.700; 0.000; 25.60; 24.00;
24_07_2012; 01:37:45; 535.700; 0.000; 25.60; 24.00;
24_07_2012; 02:25:45; 535.700; 0.000; 25.60; 23.90;
24_07_2012; 03:13:45; 535.700; 0.000; 25.60; 23.90;
24_07_2012; 04:01:45; 535.700; 0.000; 25.60; 23.80;
24_07_2012; 04:49:45; 535.700; 0.000; 25.60; 23.80;
24_07_2012; 05:37:45; 535.700; 0.000; 25.40; 23.90;
24_07_2012; 06:25:45; 535.700; 0.000; 25.30; 23.80;
24_07_2012; 07:13:45; 535.700; 0.000; 25.30; 23.80;
24_07_2012; 08:01:45; 535.700; 0.000; 25.30; 23.60;
24_07_2012; 08:49:45; 535.700; 0.000; 25.20; 23.60;
24_07_2012; 09:38:45; 535.700; 0.000; 25.20; 23.70;
24_07_2012; 10:26:45; 535.700; 0.000; 25.20; 23.70;
24_07_2012; 11:16:45; 535.700; 0.000; 25.20; 23.70;
24_07_2012; 12:04:45; 535.700; 0.000; 25.40; 23.80;
24_07_2012; 12:52:45; 535.700; 0.000; 25.50; 23.90;
24_07_2012; 13:41:45; 535.700; 0.000; 25.50; 24.00;
24_07_2012; 14:29:45; 535.700; 0.000; 25.60; 24.00;
24_07_2012; 15:17:45; 535.700; 0.000; 25.70; 24.00;
24_07_2012; 16:07:45; 535.700; 0.000; 25.70; 24.10;
24_07_2012; 16:55:45; 535.700; 0.000; 25.80; 24.20;
24_07_2012; 17:44:45; 535.700; 0.000; 25.80; 24.20;
24_07_2012; 18:32:45; 535.700; 0.000; 25.80; 24.30;
24_07_2012; 19:20:45; 535.700; 0.000; 26.00; 24.30;
24_07_2012; 20:08:45; 535.700; 0.000; 25.90; 24.50;
24_07_2012; 20:56:45; 535.700; 0.000; 25.90; 24.40;
24_07_2012; 21:44:45; 535.700; 0.000; 25.90; 24.50;
24_07_2012; 22:32:45; 535.700; 0.000; 25.90; 24.50;
24_07_2012; 23:20:45; 535.700; 0.000; 26.10; 24.50;
