weather_HB37; 12_11_2010;
 DATE;    TIME;     TE;    DR;     LX;    SO;    WR;     FE;     WG;     WS;      WD;      WC;     WV;       TK;      UH;   
12_11_2010; 00:00:15; 12.13; 979.79; 0.00; 0.00; 264.76; 77.79; 13.50; 15.53; 13.50; 8.32; 264.76; 140.74; 217.51; 
12_11_2010; 00:24:15; 11.85; 979.54; 0.00; 0.00; 266.02; 81.28; 14.73; 18.85; 16.46; 7.49; 262.75; 139.85; 216.73; 
12_11_2010; 00:48:15; 12.08; 979.29; 0.00; 0.00; 193.94; 82.98; 22.55; 22.55; 18.60; 5.29; 168.06; 140.64; 227.43; 
12_11_2010; 01:12:15; 12.29; 979.15; 0.00; 0.00; 239.09; 84.14; 28.47; 34.78; 26.94; 4.21; 259.96; 141.96; 216.86; 
12_11_2010; 01:36:15; 12.80; 979.01; 0.00; 0.00; 145.99; 80.48; 18.73; 22.73; 17.73; 7.30; 216.45; 142.93; 232.28; 
12_11_2010; 02:00:15; 12.18; 978.89; 0.00; 0.00; 223.78; 84.14; 26.51; 27.88; 21.22; 4.48; 234.73; 139.67; 230.70; 
12_11_2010; 02:24:15; 10.55; 978.89; 0.00; 0.00; 263.69; 099.80; 14.02; 14.02; 8.74; 6.22; 252.71; 137.39; 225.94; 
12_11_2010; 02:48:15; 10.10; 978.89; 0.00; 1.13; 276.46; 099.80; 15.28; 20.84; 16.21; 5.15; 241.94; 132.18; 225.06; 
12_11_2010; 03:12:15; 10.57; 978.89; 0.00; 2.27; 274.46; 95.86; 30.06; 30.06; 30.06; 1.49; 274.46; 135.85; 229.25; 
12_11_2010; 03:36:15; 11.26; 978.89; 0.00; 0.00; 271.51; 81.19; 19.79; 22.18; 21.15; 4.99; 259.87; 138.93; 230.98; 
12_11_2010; 04:00:15; 11.13; 978.89; 0.00; 0.00; 207.02; 83.07; 23.72; 35.24; 23.66; 3.71; 216.89; 139.71; 216.05; 
12_11_2010; 04:24:15; 10.79; 978.89; 0.00; 0.00; 253.23; 87.18; 15.70; 17.02; 15.35; 5.83; 240.78; 138.71; 227.74; 
12_11_2010; 04:48:15; 10.71; 978.89; 0.00; 0.00; 263.50; 89.06; 19.51; 19.51; 15.66; 4.38; 245.26; 138.46; 219.06; 
12_11_2010; 05:12:15; 10.90; 978.89; 0.00; 0.00; 236.47; 87.09; 15.20; 15.20; 9.71; 6.15; 218.45; 138.57; 229.43; 
12_11_2010; 05:36:15; 10.87; 978.89; 0.00; 0.00; 314.99; 86.74; 20.53; 28.17; 19.12; 4.27; 257.21; 139.06; 221.96; 
12_11_2010; 06:00:15; 11.05; 978.89; 0.00; 0.00; 216.03; 81.28; 13.56; 17.44; 12.96; 7.02; 249.68; 139.27; 222.78; 
12_11_2010; 06:24:15; 10.92; 978.89; 0.00; 0.00; 234.92; 80.48; 11.00; 11.00; 11.00; 8.08; 242.38; 138.74; 228.42; 
12_11_2010; 06:48:15; 10.87; 978.89; 0.00; 0.00; 269.02; 78.15; 12.96; 14.36; 13.06; 7.07; 251.23; 139.08; 228.24; 
12_11_2010; 07:12:15; 10.92; 978.89; 0.00; 0.00; 254.69; 75.56; 11.04; 14.51; 12.67; 8.06; 260.22; 138.16; 216.21; 
12_11_2010; 07:36:15; 10.87; 978.89; 161.73; 0.00; 237.25; 74.57; 17.34; 17.34; 11.73; 5.32; 240.54; 139.01; 233.12; 
12_11_2010; 08:00:15; 10.82; 978.89; 930.00; 4.83; 247.32; 73.94; 20.68; 20.68; 13.65; 4.16; 262.89; 138.98; 227.06; 
12_11_2010; 08:24:15; 10.92; 978.92; 2291.93; 13.37; 245.48; 73.59; 14.73; 22.36; 14.77; 6.37; 238.88; 138.49; 217.03; 
12_11_2010; 08:48:15; 11.10; 979.20; 4091.62; 23.33; 214.09; 73.14; 12.11; 15.97; 10.76; 7.74; 260.13; 139.55; 224.60; 
12_11_2010; 09:12:15; 11.44; 979.35; 6523.62; 36.13; 225.72; 72.25; 10.02; 15.70; 12.44; 9.17; 222.41; 140.34; 228.55; 
